imdb_score,budget,content_rating,director_name,director_facebook_likes,actor_3_facebook_likes,actor_3_name,actor_2_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,genres
6.1,180000000.0,1,1464,129.0,1000.0,2526,6000.0,360,16000.0,3864,24106,18
7.2,207000000.0,1,1934,0.0,84.0,5247,919.0,5441,6000.0,4955,7123,14
7.7,200000000.0,1,261,0.0,794.0,3753,14000.0,5118,29000.0,5780,45223,13
8.2,250000000.0,1,860,94.0,11000.0,4538,19000.0,744,21000.0,2413,64798,11
5.9,209000000.0,1,1508,532.0,627.0,1275,10000.0,1053,14000.0,3260,26679,10
7.0,150000000.0,1,520,365.0,1000.0,144,2000.0,1036,3000.0,3091,8458,10
7.8,200000000.0,1,842,0.0,393.0,4732,563.0,3016,883.0,3368,2039,11
7.3,200000000.0,1,62,0.0,4000.0,2989,11000.0,5542,24000.0,466,43388,11
7.2,200000000.0,1,704,1000.0,3000.0,5545,4000.0,4121,21000.0,2413,30426,0
6.5,200000000.0,3,1485,13000.0,11000.0,5107,25000.0,1499,40000.0,1619,79957,18
6.8,210000000.0,1,53,420.0,560.0,4945,808.0,5169,20000.0,5526,21714,14
7.3,200000000.0,2,993,37.0,760.0,3506,779.0,5281,12000.0,2567,14863,5
6.0,200000000.0,1,1441,0.0,464.0,2022,581.0,5274,894.0,5345,3218,11
5.7,210000000.0,1,1441,0.0,808.0,5169,956.0,2012,974.0,1502,3988,0
6.4,215000000.0,3,62,0.0,11000.0,5542,15000.0,5955,44000.0,3995,73441,11
6.7,200000000.0,1,225,464.0,825.0,3661,10000.0,5083,15000.0,63,28631,11
6.8,170000000.0,3,1952,364.0,1000.0,3068,10000.0,5625,12000.0,247,25550,11
6.3,200000000.0,2,1448,487.0,776.0,4502,919.0,5441,1000.0,640,4482,3
5.6,200000000.0,1,1593,258.0,326.0,4926,368.0,858,16000.0,1458,17657,0
8.3,200000000.0,2,1533,125.0,721.0,556,1000.0,4134,15000.0,5520,19085,11
6.6,200000000.0,1,1198,368.0,988.0,4079,3000.0,3091,23000.0,4913,27468,14
7.2,190000000.0,1,1382,0.0,14000.0,3822,23000.0,5809,26000.0,1810,79150,1
7.0,190000000.0,1,1074,395.0,1000.0,4635,11000.0,4327,17000.0,1373,32392,14
8.0,200000000.0,1,1687,0.0,20000.0,5526,22000.0,1838,34000.0,4254,91434,11
7.8,190000000.0,1,414,14000.0,928.0,6026,981.0,5716,19000.0,1632,21411,11
6.3,195000000.0,1,1687,0.0,140.0,4303,557.0,137,979.0,3316,1766,19
7.3,105000000.0,1,219,1000.0,77.0,2520,509.0,1055,29000.0,5780,29770,13
6.6,200000000.0,1,1299,179.0,236.0,3643,567.0,1537,15000.0,472,16149,2
7.0,190000000.0,1,1037,0.0,919.0,3211,968.0,3803,16000.0,3352,19166,11
6.3,195000000.0,1,1441,0.0,581.0,5274,829.0,4054,894.0,5345,2593,14
6.2,185000000.0,1,1088,14000.0,1000.0,1235,1000.0,6163,11000.0,2794,14959,19
7.2,185000000.0,3,1275,56.0,838.0,4958,1000.0,4134,2000.0,126,5005,3
7.5,185000000.0,1,1039,681.0,105.0,3201,119.0,5575,998.0,4766,1327,11
8.4,180000000.0,2,1661,475.0,522.0,3947,729.0,2133,1000.0,4134,2975,3
6.2,140000000.0,1,53,420.0,173.0,2151,268.0,5727,268.0,4656,1125,10
5.8,200000000.0,1,1643,776.0,310.0,4789,468.0,923,1000.0,1378,2144,0
6.8,200000000.0,3,1182,0.0,10000.0,271,14000.0,1521,18000.0,4506,48878,18
5.4,176000000.0,1,1954,0.0,13000.0,1771,15000.0,5955,17000.0,1774,47334,14
6.6,180000000.0,1,813,282.0,103.0,2228,10000.0,1053,11000.0,2329,21175,2
6.9,180000000.0,3,856,80.0,82.0,3820,190.0,3299,1000.0,1235,1317,19
7.3,178000000.0,1,1687,0.0,1000.0,6088,13000.0,3296,34000.0,4254,49684,11
9.0,185000000.0,1,365,22000.0,11000.0,3865,13000.0,438,23000.0,4913,57802,1
8.3,175000000.0,3,1993,0.0,262.0,5344,848.0,4061,1000.0,4134,2635,18
6.5,175000000.0,3,791,11.0,459.0,5454,973.0,4940,1000.0,391,2579,18
7.9,140000000.0,1,1313,4000.0,4000.0,4121,12000.0,247,21000.0,2413,39252,14
7.5,170000000.0,3,1253,17000.0,1000.0,6163,16000.0,3864,17000.0,151,36017,18
4.8,170000000.0,1,1731,188.0,582.0,5455,4000.0,3757,10000.0,3737,15870,9
5.2,145000000.0,1,1886,357.0,595.0,5246,3000.0,2759,5000.0,1683,9131,19
6.9,175000000.0,1,1121,452.0,329.0,5800,336.0,1793,10000.0,3737,11287,0
5.4,175000000.0,3,179,293.0,7000.0,5647,11000.0,3865,87000.0,979,108016,19
7.9,178000000.0,1,1536,218.0,509.0,199,854.0,5486,10000.0,849,12652,11
6.1,175000000.0,1,1440,58.0,60.0,1660,60.0,3183,711.0,2128,1004,10
5.8,175000000.0,1,676,208.0,570.0,5751,2000.0,5493,23000.0,1510,26683,10
8.3,175000000.0,3,1993,0.0,384.0,4932,767.0,4647,1000.0,391,2944,19
7.8,175000000.0,3,1313,4000.0,591.0,6209,13000.0,5068,19000.0,744,32921,19
7.0,200000000.0,1,1313,4000.0,4000.0,4121,19000.0,744,21000.0,2413,48638,11
6.1,170000000.0,1,1666,274.0,11000.0,3482,17000.0,6250,26000.0,2964,72881,19
7.0,180000000.0,3,787,171.0,846.0,580,2000.0,5267,11000.0,2059,15516,19
7.6,170000000.0,1,1665,198.0,884.0,4133,2000.0,1036,10000.0,271,14363,11
6.3,175000000.0,1,1411,47.0,982.0,3606,1000.0,5546,18000.0,3300,20965,19
7.8,170000000.0,1,860,94.0,2000.0,3242,11000.0,4538,19000.0,744,36188,11
6.4,165000000.0,3,1748,31.0,213.0,93,225.0,3773,4000.0,4609,4628,19
6.5,190000000.0,3,1399,663.0,604.0,1714,638.0,1665,2000.0,1036,5046,0
7.9,165000000.0,3,615,38.0,562.0,3984,719.0,821,756.0,427,2963,3
7.8,165000000.0,3,1729,66.0,833.0,3128,931.0,6215,975.0,4978,4451,0
6.6,165000000.0,2,1182,0.0,267.0,2745,726.0,3119,15000.0,5520,16264,3
5.5,165000000.0,1,1643,776.0,535.0,1404,812.0,4876,890.0,2969,3233,0
8.2,165000000.0,3,730,255.0,759.0,5098,953.0,2485,18000.0,3885,20453,19
6.4,200000000.0,0,1255,84.0,191.0,5898,284.0,48,648.0,4755,1769,14
8.1,170000000.0,1,156,571.0,3000.0,5104,14000.0,3822,14000.0,4099,32438,11
8.6,165000000.0,1,365,22000.0,6000.0,4612,11000.0,5107,11000.0,535,31488,11
8.8,160000000.0,1,365,22000.0,23000.0,1510,27000.0,1933,29000.0,5780,81115,0
7.9,180000000.0,1,1934,0.0,773.0,5523,972.0,3094,5000.0,215,9152,19
6.7,38000000.0,1,1886,357.0,4000.0,5242,14000.0,3822,23000.0,5809,45327,14
7.8,150000000.0,1,653,21000.0,919.0,3888,1000.0,3020,11000.0,4327,13333,13
7.8,160000000.0,1,1190,905.0,1000.0,1378,13000.0,3296,34000.0,4254,50983,14
6.6,160000000.0,1,12,508.0,14000.0,834,22000.0,5040,34000.0,4254,81385,11
6.1,150000000.0,3,157,226.0,370.0,105,418.0,17,12000.0,3085,13388,19
5.6,160000000.0,1,1108,249.0,702.0,2637,2000.0,2352,87000.0,979,92456,10
6.4,170000000.0,3,1787,33.0,11000.0,5107,25000.0,1499,40000.0,1619,80806,11
6.1,160000000.0,3,1883,50.0,692.0,4262,795.0,1381,3000.0,2804,4705,5
7.3,160000000.0,1,795,0.0,648.0,5743,716.0,3647,3000.0,887,5505,14
6.6,155000000.0,1,164,230.0,2000.0,596,10000.0,5549,24000.0,466,38873,14
6.3,155000000.0,3,834,150.0,59.0,835,82.0,3820,531.0,3328,764,11
6.1,140000000.0,1,1441,0.0,691.0,1915,961.0,3895,3000.0,2031,5401,6
7.1,150000000.0,1,1441,0.0,581.0,5274,599.0,1783,662.0,4695,2333,14
5.5,155000000.0,0,1460,0.0,591.0,704,11000.0,2059,12000.0,3465,24598,11
7.5,150000000.0,1,813,282.0,687.0,3617,11000.0,5391,21000.0,3186,33433,12
7.6,150000000.0,1,1299,179.0,10000.0,3821,11000.0,5391,21000.0,3186,53413,19
6.4,150000000.0,1,1508,532.0,979.0,3316,9000.0,3199,10000.0,3737,21584,14
7.2,150000000.0,1,12,508.0,558.0,1010,1000.0,1471,10000.0,3737,13076,7
6.7,150000000.0,3,1485,13000.0,588.0,583,16000.0,3864,40000.0,1619,57844,5
8.0,150000000.0,2,1399,663.0,954.0,3998,1000.0,4134,1000.0,5473,4764,18
8.3,150000000.0,1,365,22000.0,11000.0,3865,14000.0,3260,23000.0,4913,59558,11
6.7,150000000.0,3,927,35.0,436.0,2460,851.0,4963,1000.0,6157,3285,3
5.9,150000000.0,3,1706,189.0,1000.0,3284,3000.0,5531,49000.0,3356,54039,11
6.7,150000000.0,1,322,151.0,2000.0,4009,16000.0,1458,20000.0,5526,40054,11
6.7,150000000.0,0,1954,0.0,233.0,5256,269.0,819,309.0,999,1062,0
7.6,150000000.0,3,1049,69.0,490.0,891,523.0,218,1000.0,4509,2582,5
7.2,150000000.0,0,1954,0.0,30.0,2370,198.0,128,234.0,349,534,14
7.1,170000000.0,1,164,230.0,12000.0,3465,20000.0,3925,26000.0,2964,59803,11
8.1,150000000.0,0,334,750.0,943.0,5753,9000.0,3199,27000.0,1933,40025,10
6.7,150000000.0,1,1797,2000.0,294.0,3726,745.0,3173,15000.0,5520,16948,12
7.0,150000000.0,1,1521,0.0,12000.0,3465,20000.0,3925,26000.0,2964,60059,14
6.9,150000000.0,3,1308,59.0,699.0,3949,759.0,4076,17000.0,151,20007,11
5.1,150000000.0,3,170,12.0,182.0,1592,607.0,4353,730.0,5326,2217,11
5.8,150000000.0,1,945,473.0,502.0,377,897.0,5638,14000.0,3260,16184,14
6.2,100000000.0,1,1485,13000.0,16000.0,3864,17000.0,151,40000.0,1619,80849,5
7.4,150000000.0,1,1064,188.0,641.0,2252,10000.0,2677,10000.0,849,21840,11
5.8,150000000.0,0,959,394.0,162.0,2826,490.0,2764,12000.0,3465,13071,19
6.6,180000000.0,1,813,282.0,103.0,2228,10000.0,1053,11000.0,2329,21175,14
6.2,150000000.0,3,1781,58.0,826.0,1194,852.0,2242,2000.0,2493,6576,5
7.3,150000000.0,3,1730,90.0,15.0,2907,10000.0,271,11000.0,2059,21015,11
4.2,150000000.0,3,1202,0.0,346.0,4337,756.0,3525,1000.0,3587,2857,11
6.9,150000000.0,1,414,14000.0,979.0,3316,10000.0,849,22000.0,5040,34817,14
6.4,150000000.0,1,1643,776.0,256.0,5823,551.0,915,17000.0,1774,18204,14
5.4,150000000.0,3,1271,25.0,433.0,3575,562.0,3417,921.0,1955,2652,0
6.7,149000000.0,3,898,42.0,586.0,6108,14000.0,5118,20000.0,5526,35161,18
5.8,150000000.0,3,57,456.0,394.0,3970,548.0,6,20000.0,5526,21393,19
6.9,145000000.0,3,829,50.0,517.0,1126,1000.0,4883,3000.0,469,5810,3
7.2,175000000.0,0,1108,249.0,844.0,3550,5000.0,855,11000.0,4327,17944,11
6.9,145000000.0,3,927,35.0,436.0,2460,770.0,2462,851.0,4963,2444,18
6.1,142000000.0,1,17,93.0,746.0,1101,766.0,4764,769.0,1470,2538,11
5.5,144000000.0,1,1112,176.0,322.0,5995,370.0,3731,783.0,3080,2097,5
6.6,140000000.0,1,1441,0.0,537.0,3033,12000.0,2567,13000.0,5764,26029,14
6.1,140000000.0,1,1731,188.0,826.0,1194,3000.0,4966,10000.0,3737,14823,18
6.3,150000000.0,1,1182,0.0,964.0,1080,12000.0,3465,18000.0,4506,31523,3
7.2,145000000.0,3,1570,5.0,967.0,4753,11000.0,2059,24000.0,466,36095,18
7.4,145000000.0,1,1399,663.0,690.0,6028,10000.0,2677,10000.0,849,21768,14
7.3,145000000.0,3,45,52.0,161.0,4645,315.0,1710,20000.0,5526,20645,11
6.1,100000000.0,1,1546,23.0,233.0,2495,550.0,1204,957.0,1179,1997,1
7.7,140000000.0,0,1904,380.0,445.0,2789,956.0,2869,10000.0,849,11945,14
6.1,140000000.0,1,1032,0.0,748.0,209,893.0,4952,23000.0,4913,26490,11
8.0,150000000.0,1,414,14000.0,981.0,5716,12000.0,1961,26000.0,2964,39284,11
7.3,139000000.0,1,62,0.0,4000.0,2989,11000.0,5542,24000.0,466,40484,11
7.9,145000000.0,3,730,255.0,953.0,2485,3000.0,5104,18000.0,3885,23378,14
5.5,140000000.0,1,594,295.0,284.0,1196,934.0,258,18000.0,3885,19769,14
5.0,135000000.0,1,1886,357.0,653.0,913,780.0,3099,820.0,3148,2705,14
7.7,130000000.0,0,1949,0.0,413.0,1627,745.0,1012,986.0,914,2530,12
6.6,140000000.0,0,347,503.0,91.0,3342,808.0,268,5000.0,1683,6171,10
5.7,137000000.0,1,1301,0.0,258.0,1503,300.0,354,820.0,379,1814,14
5.8,130000000.0,1,1721,209.0,934.0,258,12000.0,3589,17000.0,1774,31958,11
6.0,130000000.0,1,1461,42.0,848.0,4061,973.0,4940,11000.0,535,13073,14
6.4,137000000.0,1,256,6.0,422.0,1256,2000.0,414,12000.0,2567,15015,3
6.9,140000000.0,1,959,394.0,2000.0,3242,3000.0,887,11000.0,4538,19761,11
6.4,135000000.0,1,834,150.0,244.0,4385,536.0,2779,766.0,4764,2037,10
7.4,150000000.0,1,276,608.0,168.0,690,172.0,5019,613.0,716,1205,17
5.5,120000000.0,1,672,386.0,12000.0,3892,17000.0,6250,21000.0,3186,59177,11
5.9,135000000.0,3,334,750.0,988.0,4079,11000.0,4327,49000.0,3356,62644,5
6.8,150000000.0,1,1227,255.0,882.0,5841,1000.0,4597,3000.0,469,5811,0
6.8,140000000.0,3,1088,14000.0,358.0,447,400.0,5490,535.0,1796,1950,11
8.1,135000000.0,0,1947,0.0,733.0,1609,27000.0,1933,29000.0,5780,57108,13
6.5,135000000.0,3,1510,13.0,463.0,5373,881.0,5203,16000.0,1458,17416,5
7.2,135000000.0,3,1149,563.0,939.0,4163,1000.0,6163,40000.0,1619,43291,9
6.7,132000000.0,3,927,35.0,179.0,1634,411.0,3146,19000.0,1632,19963,18
8.1,110000000.0,1,764,521.0,883.0,3368,897.0,5638,13000.0,2068,17369,10
7.6,130000000.0,3,1744,54.0,562.0,3417,967.0,4753,11000.0,2059,12754,14
7.4,130000000.0,1,729,235.0,680.0,5263,2000.0,3242,2000.0,1036,5730,5
7.6,130000000.0,1,12,508.0,523.0,446,14000.0,834,34000.0,4254,49355,11
5.5,120000000.0,1,672,386.0,12000.0,3892,17000.0,6250,21000.0,3186,59177,2
6.7,135000000.0,3,1496,12.0,183.0,4996,523.0,1859,17000.0,3808,17883,5
6.5,132000000.0,1,1088,14000.0,807.0,2311,1000.0,4619,10000.0,849,12758,0
6.6,130000000.0,0,1441,0.0,877.0,521,898.0,5827,10000.0,3737,12954,14
6.7,130000000.0,3,1883,50.0,397.0,2853,442.0,2257,4000.0,3757,5046,18
6.4,110000000.0,1,1003,176.0,282.0,2463,702.0,2637,11000.0,2059,12406,14
5.8,125000000.0,1,252,0.0,8000.0,1640,9000.0,5127,12000.0,3465,32355,13
7.4,135000000.0,3,1088,14000.0,845.0,925,871.0,1379,2000.0,2223,4631,12
7.8,130000000.0,3,601,0.0,10000.0,3821,10000.0,271,11000.0,5391,33284,19
6.6,130000000.0,1,219,1000.0,165.0,778,284.0,1196,309.0,999,921,2
4.9,130000000.0,1,1202,0.0,894.0,5345,943.0,5753,10000.0,3737,14168,0
6.5,127500000.0,3,1445,0.0,388.0,3700,558.0,2513,1000.0,1879,2945,10
6.2,127000000.0,3,1706,189.0,1000.0,3284,3000.0,5531,49000.0,3356,53587,11
7.3,130000000.0,3,1363,96.0,8000.0,1728,11000.0,4327,24000.0,466,46120,5
7.5,125000000.0,3,785,0.0,645.0,5724,687.0,3617,11000.0,5391,13191,11
5.6,130000000.0,1,464,124.0,1000.0,2596,12000.0,247,16000.0,1458,31549,14
8.1,140000000.0,1,1149,563.0,1000.0,4908,5000.0,855,40000.0,1619,48184,14
6.7,125000000.0,1,12,508.0,14000.0,834,22000.0,5040,34000.0,4254,81385,0
6.6,125000000.0,1,1797,2000.0,362.0,1174,574.0,4181,15000.0,5520,16008,12
6.4,103000000.0,2,894,107.0,56.0,3370,237.0,4203,688.0,3421,1031,18
7.5,110000000.0,1,1687,0.0,346.0,5864,505.0,184,20000.0,5526,20952,10
7.3,125000000.0,1,1039,681.0,12000.0,3589,14000.0,3822,23000.0,5809,55345,10
7.5,125000000.0,1,1324,0.0,154.0,1582,979.0,3316,21000.0,2413,22403,1
5.8,125000000.0,1,1227,255.0,850.0,4738,1000.0,3020,14000.0,3260,18003,14
7.5,65000000.0,0,1290,719.0,217.0,468,308.0,5861,605.0,1614,1441,14
6.6,85000000.0,0,575,323.0,241.0,5529,372.0,5901,845.0,925,1815,14
6.7,125000000.0,1,1351,209.0,602.0,2684,826.0,4147,10000.0,2677,12175,10
3.7,125000000.0,1,947,541.0,409.0,578,890.0,2969,920.0,4988,2699,14
6.0,123000000.0,3,1797,2000.0,636.0,5644,722.0,3430,1000.0,117,4146,5
6.4,125000000.0,1,1643,776.0,812.0,4876,2000.0,5493,15000.0,472,20553,14
6.1,125000000.0,1,1081,610.0,653.0,913,794.0,1828,10000.0,849,11930,11
6.4,140000000.0,1,1108,249.0,461.0,4319,638.0,3376,784.0,3041,2684,14
5.6,130000000.0,3,1704,167.0,702.0,2637,2000.0,2758,11000.0,4538,15302,10
8.0,120000000.0,3,1301,0.0,341.0,4681,358.0,447,774.0,5622,2121,13
5.2,110000000.0,1,1653,160.0,402.0,5034,701.0,2860,12000.0,3085,14017,10
7.1,120000000.0,1,764,521.0,265.0,1922,365.0,96,13000.0,2068,13752,10
4.8,120000000.0,1,1198,368.0,1000.0,3877,1000.0,6157,2000.0,208,4046,11
7.0,130000000.0,0,1032,0.0,641.0,2252,9000.0,3199,13000.0,3296,24098,11
5.4,120000000.0,3,829,50.0,537.0,862,799.0,2709,886.0,3155,2682,18
6.6,115000000.0,0,1078,662.0,1000.0,1471,2000.0,5267,13000.0,2068,17689,10
6.7,105000000.0,1,1059,123.0,567.0,1497,850.0,4738,14000.0,3822,17159,11
6.2,100000000.0,1,699,294.0,1000.0,348,2000.0,4632,10000.0,271,14161,1
6.1,120000000.0,3,1954,0.0,87.0,5948,107.0,2360,690.0,2298,902,14
5.3,120000000.0,1,1873,274.0,157.0,4049,216.0,2148,273.0,4973,993,2
6.3,117000000.0,1,1668,446.0,877.0,521,973.0,1225,10000.0,849,12731,14
7.0,120000000.0,1,1952,364.0,1000.0,4801,10000.0,849,11000.0,3865,22004,14
7.6,113000000.0,1,155,0.0,4000.0,5802,16000.0,3864,20000.0,3925,44042,0
6.7,115000000.0,3,155,0.0,4000.0,5802,16000.0,3864,20000.0,3925,42990,11
8.1,115000000.0,2,1993,0.0,773.0,4199,1000.0,4134,12000.0,2567,15013,3
6.7,120000000.0,1,1668,446.0,929.0,4436,992.0,67,20000.0,5526,23755,10
6.5,115000000.0,3,155,0.0,1000.0,5389,14000.0,3260,20000.0,3925,37723,11
7.3,135000000.0,3,775,16.0,12000.0,3085,15000.0,63,16000.0,1458,43286,18
6.0,115000000.0,0,1081,610.0,617.0,3638,836.0,3741,12000.0,3085,15046,6
6.1,115000000.0,1,1231,19.0,9000.0,3199,11000.0,3482,26000.0,2964,46719,14
5.9,125000000.0,1,945,473.0,429.0,5923,809.0,2442,833.0,1675,2690,0
7.8,100000000.0,1,601,0.0,13.0,3440,23.0,260,39.0,1172,87,13
5.8,116000000.0,1,1610,79.0,268.0,4656,293.0,861,650.0,41,1569,14
6.3,135000000.0,1,526,13.0,799.0,2709,833.0,1675,5000.0,68,8306,11
4.3,120000000.0,1,1179,128.0,78.0,1133,360.0,4954,596.0,5796,1261,0
6.4,110000000.0,3,1706,189.0,1000.0,3284,3000.0,5531,49000.0,3356,55486,18
6.1,110000000.0,1,1357,62.0,884.0,276,2000.0,2758,12000.0,3589,16718,10
6.5,110000000.0,1,1500,55.0,387.0,3703,766.0,4764,811.0,3554,2958,10
7.1,110000000.0,0,1643,776.0,1000.0,1385,2000.0,2270,13000.0,438,19454,17
6.4,110000000.0,1,1690,0.0,350.0,2321,8000.0,1849,11000.0,4327,19359,10
6.5,120000000.0,1,1536,218.0,322.0,1559,11000.0,2059,11000.0,4327,22722,10
6.3,110000000.0,1,464,124.0,1000.0,5772,5000.0,3110,14000.0,5118,22622,10
7.5,110000000.0,1,1253,17000.0,827.0,2667,3000.0,1697,29000.0,5780,34582,13
4.9,112000000.0,3,791,11.0,116.0,5925,392.0,4831,480.0,450,1173,18
5.8,120000000.0,1,798,1000.0,741.0,5163,1000.0,1385,11000.0,2329,13391,5
6.2,110000000.0,0,533,263.0,1000.0,4597,1000.0,4124,6000.0,360,10583,14
5.5,110000000.0,3,627,67.0,111.0,2380,113.0,4126,383.0,714,692,18
5.4,110000000.0,3,579,6.0,421.0,1713,513.0,165,12000.0,2567,13607,3
5.8,110000000.0,1,464,124.0,943.0,5753,5000.0,3110,6000.0,4955,12452,12
7.1,110000000.0,1,1706,189.0,544.0,3492,929.0,1283,20000.0,5526,22254,20
5.4,105000000.0,3,627,67.0,40.0,4333,71.0,4063,681.0,1526,914,3
3.7,160000000.0,1,461,101.0,202.0,3690,368.0,858,673.0,791,2027,1
6.7,110000000.0,1,322,151.0,430.0,6055,635.0,2359,11000.0,2794,12908,14
7.2,110000000.0,1,1907,235.0,297.0,4295,300.0,924,13000.0,5764,13961,11
8.8,93000000.0,1,1934,0.0,857.0,1464,5000.0,855,16000.0,3864,22342,19
5.8,110000000.0,3,913,153.0,447.0,4610,1000.0,3284,1000.0,1235,3175,14
6.8,107000000.0,0,1512,0.0,780.0,3099,851.0,4963,10000.0,3737,14196,21
3.8,109000000.0,3,562,34.0,434.0,4196,743.0,3404,760.0,3506,2762,11
7.1,120000000.0,1,594,295.0,466.0,1884,981.0,5716,10000.0,3737,12068,14
7.2,130000000.0,0,1032,0.0,195.0,5505,5000.0,855,14000.0,3260,19600,14
5.9,133000000.0,3,829,50.0,692.0,6066,886.0,3155,979.0,5002,3382,5
7.1,105000000.0,2,1424,63.0,525.0,1274,578.0,2621,852.0,2242,2480,18
8.1,108000000.0,1,1032,0.0,372.0,6101,801.0,2491,13000.0,2068,14831,11
6.9,126000000.0,1,1441,0.0,3000.0,5104,12000.0,2567,19000.0,744,34839,14
4.4,90000000.0,0,773,23.0,591.0,6209,631.0,2153,752.0,1777,3133,2
6.5,90000000.0,1,1560,57.0,3000.0,2015,11000.0,2059,12000.0,3085,29069,14
8.5,103000000.0,0,1032,0.0,695.0,3652,933.0,4104,3000.0,5104,6521,14
7.7,102000000.0,1,1088,14000.0,533.0,4289,798.0,5562,10000.0,849,12546,14
7.4,100000000.0,3,785,0.0,9000.0,5127,10000.0,3821,11000.0,5391,35672,11
8.0,150000000.0,1,1593,258.0,834.0,6116,1000.0,3395,6000.0,360,9125,14
5.7,100000000.0,1,1485,13000.0,567.0,3171,658.0,5314,1000.0,5546,2776,10
8.5,102000000.0,0,261,0.0,539.0,3288,604.0,793,780.0,3099,2829,0
7.0,100000000.0,0,1512,0.0,1000.0,5164,23000.0,4913,40000.0,1619,64599,1
7.8,100000000.0,0,1032,0.0,561.0,4724,782.0,1555,18000.0,3154,20354,1
7.2,115000000.0,0,261,0.0,618.0,2200,1000.0,3218,2000.0,5355,4528,5
6.4,100000000.0,0,755,12000.0,385.0,3668,464.0,2022,18000.0,3154,19906,1
5.5,100000000.0,1,780,80.0,708.0,6134,713.0,2254,22000.0,1547,24082,5
6.7,100000000.0,1,1209,285.0,107.0,3718,8000.0,1728,12000.0,3589,20233,5
6.1,100000000.0,0,1914,55.0,383.0,1659,773.0,4199,1000.0,5815,3454,14
8.5,100000000.0,0,84,16000.0,265.0,1922,11000.0,2329,29000.0,5780,40978,13
6.9,100000000.0,2,75,21.0,542.0,4934,700.0,5308,2000.0,208,4842,2
7.3,100000000.0,2,876,10.0,253.0,2404,452.0,581,558.0,5337,2039,19
6.7,92000000.0,0,801,165.0,13000.0,5764,13000.0,365,26000.0,1810,57881,14
6.9,100000000.0,3,157,226.0,341.0,516,625.0,2198,12000.0,3085,13679,11
5.1,100000000.0,3,10,14.0,203.0,2617,762.0,4931,3000.0,5104,4487,11
6.8,100000000.0,3,1383,0.0,279.0,3523,468.0,3565,925.0,2587,1738,11
5.8,150000000.0,3,57,456.0,394.0,3970,548.0,6,20000.0,5526,21393,11
6.7,100000000.0,3,1225,77.0,120.0,5045,151.0,5128,14000.0,834,14552,19
6.0,100000000.0,1,1428,207.0,3000.0,561,11000.0,2059,40000.0,1619,55175,2
5.7,83000000.0,0,1754,0.0,595.0,2878,1000.0,844,1000.0,405,3903,14
8.0,100000000.0,0,1904,380.0,452.0,2591,3000.0,5104,29000.0,5780,33160,10
8.2,100000000.0,0,1253,17000.0,4000.0,4121,11000.0,535,29000.0,5780,46057,1
5.4,100000000.0,1,947,541.0,680.0,5784,710.0,2791,920.0,4988,2880,14
7.2,105000000.0,0,1290,719.0,423.0,3780,475.0,5048,660.0,3193,2031,0
7.5,102000000.0,0,912,670.0,1000.0,1235,5000.0,1103,15000.0,5520,22686,13
